XAxis-02_X,XAxis-02_Y,YAxis-03_X,YAxis-03_Y,YAxis-04_X,YAxis-04_Y,YAxis-05_X,YAxis-05_Y,YAxis-06_X,YAxis-06_Y, ,angle_X-axis,angle_Y-axis,angle_02,angle_03,angle_04,angle_05,angle_06,angle_20.topRight,angle_20.bottomLeft
0.000,2018.839,0.000,2073.227,0.000,4558.647,0.000,4717.909,0.000,2886.002, ,-0.0618,89.7666,-0.0976,-0.0961,-0.1050,-0.1143,-0.1653,45.6782,44.8024
0.000,2019.345,0.000,2075.262,0.000,4557.674,0.000,4720.497,0.000,2889.041, ,-0.1067,89.7933,-0.1004,-0.0964,-0.1312,-0.1021,-0.1639,44.0965,44.8558
0.000,2020.502,0.000,2077.030,0.000,4564.118,0.000,4722.275,0.000,2890.986, ,-0.1442,89.7825,-0.1500,-0.1582,-0.0881,-0.1193,-0.1564,44.7856,44.6090
0.000,2019.264,0.000,2076.404,0.000,4559.152,0.000,4720.588,0.000,2887.326, ,-0.0718,89.7851,-0.0855,-0.0665,-0.0382,-0.0938,-0.1731,45.4499,45.0109
0.000,2019.496,0.000,2075.170,0.000,4560.330,0.000,4721.510,0.000,2891.097, ,-0.0829,89.8303,-0.0829,-0.0922,-0.0669,-0.0568,-0.0956,44.8198,44.9815
0.000,2020.558,0.000,2076.176,0.000,4560.662,0.000,4721.824,0.000,2888.692, ,-0.1068,89.7994,-0.1084,-0.0862,-0.1269,-0.1211,-0.1615,45.0048,45.8724
0.000,2022.170,0.000,2076.829,0.000,4562.564,0.000,4721.111,0.000,2888.682, ,-0.0967,89.8436,-0.0816,-0.0670,-0.0563,-0.0691,-0.1324,45.3355,44.8816
0.000,2019.082,0.000,2073.541,0.000,4559.900,0.000,4719.492,0.000,2887.149, ,-0.0903,89.8134,-0.1057,-0.1065,-0.1160,-0.1168,-0.1465,44.6319,44.7584
0.000,2018.773,0.000,2076.223,0.000,4559.532,0.000,4721.829,0.000,2893.650, ,-0.1002,89.7931,-0.1052,-0.1029,-0.1460,-0.1378,-0.0648,44.6385,44.8371
0.000,2018.038,0.000,2073.989,0.000,4559.287,0.000,4720.014,0.000,2884.028, ,-0.1332,89.8101,-0.1522,-0.1189,-0.1240,-0.1347,-0.2451,44.6564,44.8120
0.000,2019.202,0.000,2074.536,0.000,4558.946,0.000,4719.818,0.000,2887.589, ,-0.0841,89.8017,-0.0851,-0.0773,-0.1067,-0.0903,-0.1499,44.7295,45.1508
0.000,2019.531,0.000,2074.738,0.000,4559.964,0.000,4721.285,0.000,2887.063, ,-0.1244,89.7841,-0.1428,-0.1504,-0.1166,-0.1348,-0.1960,45.3981,44.6445
